date,value
2013-04-28,235.9074022
2013-04-29,202.4814609
2013-04-30,217.6689699
2013-05-01,217.3418591
2013-05-02,298.8929673
2013-05-03,216.971842
2013-05-04,268.9259021
2013-05-05,240.7258178
2013-05-06,230.7914662
2013-05-07,263.9542178
2013-05-08,220.2565564
2013-05-09,219.1902357
2013-05-10,243.8171439
2013-05-11,236.6008655
2013-05-12,278.4530122
2013-05-13,233.8254511
2013-05-14,277.6313207
2013-05-15,220.3414519
2013-05-16,178.484991
2013-05-17,250.3197623
2013-05-18,190.2826047
2013-05-19,250.2845285
2013-05-20,223.4797015
2013-05-21,210.9512883
2013-05-22,206.6779493
2013-05-23,173.8871489
2013-05-24,182.3029951
2013-05-25,283.0772497
2013-05-26,221.8815535
2013-05-27,275.6368274
2013-05-28,260.0143677
2013-05-29,274.9817546
2013-05-30,289.8397942
2013-05-31,271.4561189
2013-06-01,209.9540435
2013-06-02,225.2705734
2013-06-03,247.1687879
2013-06-04,223.6676481
2013-06-05,184.9441853
2013-06-06,220.3537818
2013-06-07,169.798431
2013-06-08,214.5785859
2013-06-09,205.8228434
2013-06-10,233.9961867
2013-06-11,225.7536442
2013-06-12,246.4503749
2013-06-13,209.6984397
2013-06-14,181.2854491
2013-06-15,191.9649078
2013-06-16,217.437606
2013-06-17,192.8055598
2013-06-18,277.5658652
2013-06-19,170.0901292
2013-06-20,210.8047948
2013-06-21,230.3254441
2013-06-22,197.4313386
2013-06-23,249.6910338
2013-06-24,170.3932931
2013-06-25,246.609594
2013-06-26,225.4980887
2013-06-27,269.4721657
2013-06-28,195.7949088
2013-06-29,251.7445608
2013-06-30,212.4122473
2013-07-01,171.9498136
2013-07-02,156.0715309
2013-07-03,138.6791208
2013-07-04,215.809605
2013-07-05,222.6801412
2013-07-06,163.5393536
2013-07-07,158.9920219
2013-07-08,183.0182408
2013-07-09,208.8681588
2013-07-10,128.6997886
2013-07-11,202.1335038
2013-07-12,263.3858764
2013-07-13,238.9570232
2013-07-14,254.4046231
2013-07-15,218.9123058
2013-07-16,137.7809768
2013-07-17,218.6067955
2013-07-18,149.8999581
2013-07-19,172.3978415
2013-07-20,158.9373098
2013-07-21,197.570253
2013-07-22,187.1698739
